City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Berlevag,NO,2022-09-11 22:22:19,70.8578,29.0864,42.75,93,100,5.75,overcast clouds
191,Lasa,IT,2022-09-11 22:22:20,46.6166,10.7002,58.08,78,0,2.84,clear sky
192,Broome,US,2022-09-11 22:22:20,42.2506,-75.833,66.61,94,100,6.91,mist
193,Luchenza,MW,2022-09-11 22:22:20,-16.0069,35.3095,68.79,46,0,1.05,clear sky
194,Ambilobe,MG,2022-09-11 22:22:21,-13.2,49.05,71.08,68,89,4.94,overcast clouds
195,Constitucion,CL,2022-09-11 22:21:46,-35.3333,-72.4167,52.84,72,86,2.08,overcast clouds
196,Chiang Mai,TH,2022-09-11 22:22:21,18.75,99.0,76.89,91,75,3.44,light rain
197,Hambantota,LK,2022-09-11 22:22:22,6.1241,81.1185,77.63,84,23,17.09,few clouds
198,Port Lincoln,AU,2022-09-11 22:18:01,-34.7333,135.8667,52.5,87,57,4.0,broken clouds
199,Bambui,BR,2022-09-11 22:22:22,-20.0064,-45.9769,84.79,22,41,4.59,scattered clouds
200,Brewster,US,2022-09-11 22:21:46,41.3973,-73.6171,69.91,92,100,5.75,light rain
201,Bulungu,CD,2022-09-11 22:22:23,-4.55,18.6,73.2,83,84,3.6,light rain
202,Pemangkat,ID,2022-09-11 22:22:23,1.1667,108.9667,77.54,85,100,2.13,overcast clouds
203,Huarmey,PE,2022-09-11 22:22:24,-10.0681,-78.1522,64.96,75,13,12.55,few clouds
204,Faya,SA,2022-09-11 22:22:24,18.3851,42.4509,69.91,29,53,5.35,broken clouds
205,Nikolskoye,RU,2022-09-11 22:22:25,59.7035,30.7861,46.87,82,100,4.07,overcast clouds
206,Bubaque,GW,2022-09-11 22:22:25,11.2833,-15.8333,78.01,85,100,13.58,light rain
207,Dingle,PH,2022-09-11 22:22:25,10.9995,122.6711,74.73,91,77,3.13,broken clouds
